,0
0,Alabama
1,Arkansas
2,Connecticut
3,Delaware
4,Idaho
5,Indiana
6,Iowa
7,Maine
8,Maryland
9,Massachusetts
10,Michigan
11,Mississippi
12,Nebraska
13,Nevada
14,New Hampshire
15,North Dakota
16,Oklahoma
17,Oregon
18,Rhode Island
19,South Dakota
20,Vermont
21,Virginia
22,West Virginia
23,Wisconsin
